date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:50	593236/593236	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:48%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARSV_AnOx66wHhLjGNzXmqQb4b56zH_6Y-AUVuwxD1dDcPKRUiY0dpDsTEaBXTMo0C4&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexdc78.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:50	593141/593141	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:46%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARSrguJgwxlwO_R5qCFXUye9uqhdoGU4VIdONdD_ku6nUz5hTg-yHf_P7b5M4dOZX1k	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexc570.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:51	258226/258226	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:50%20GMT	https://www.facebook.com/ionicframework/photos	ionic/ionic%203%20docs/www.facebook.com/ionicframework/photos.html	(from https://www.facebook.com/ionicframework/photos/?ref=page_internal)
18:41:51	596700/596700	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:50%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARTLAnqcjpEUID3LsOAhXQagXIdCSsxD6__bNiWX7sbhljiECfgbeSyk_aR12mSVzWM&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index2dec.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:51	602772/602772	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:50%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARSZ8rdmvxlaY-Cb6AagPT4ocplFYhxVyMzaz4koANCADLYr1OQJrPDhqD8uvabYLDU	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index0327.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:52	596958/596958	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:51%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARTQGW8iKIBwpoXGbwyZq4NybKAuVuh6b5Z6HDH3I0fPZPgJoAiw44idnNypfUU5HBo	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index5acb.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:52	191064/191064	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:41:52%20GMT	https://www.facebook.com/ionicframework/photos/6+Cq	ionic/ionic%203%20docs/www.facebook.com/ionicframework/photos/6+Cq	(from https://www.facebook.com/ionicframework/photos/?ref=page_internal)
18:41:54	596659/596659	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:53%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARRXtu_65qo16WWdx_XbWXbCTxZqvdoOnqZ6LYytdZFKZDeOGW_dd1I90Yd9vCsVA3M	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexaaba.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:54	602944/602944	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:53%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARTaC8xlvmIsygJci2NqIvD-uJ76YyBRevaTRVaHONJzMx5IboLHC8oRNF9i3QO681I	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index1fe4.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:54	187430/187430	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:41:54%20GMT	https://www.facebook.com/ionicframework/photos/xpaf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/photos/xpaf	(from https://www.facebook.com/ionicframework/photos/?ref=page_internal)
18:41:55	593522/593522	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:53%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARToIpqZfFFqWQs3Y6DQg3_DKVf9YtQEOAP9X7E2ibMgPaC-T2i09vkcNp6MXpdaKQw&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexab46.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:55	593499/593499	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:53%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARTZ0N8jbgyfBWLAwnaQtiF6rSkuUuI8rRPjwXDoynzjRD7XIqZ9bbVNeYQ8S_Ea4Vs&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexccb2.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:56	596738/596738	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:55%20GMT	https://www.facebook.com/ionicframework/?hc_ref=ARQgGw8AYb1QPjdeNf19rZQu18Ru0rwsLTw5xhvgoKAT_RHxpQ9-GDS9HwSetw3rnPA&fref=nf	ionic/ionic%203%20docs/www.facebook.com/ionicframework/index5811.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:56	598503/598503	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2017:41:55%20GMT	https://www.facebook.com/ionicframework/?ref=nf&hc_ref=ARRMiaZ1dLTz6vF3FGjmbzsOETTP9t8u752M0yGbuk8A23-rEPxhJzVt0Ol5Xeh1Y_I	ionic/ionic%203%20docs/www.facebook.com/ionicframework/indexa75b.html	(from https://www.facebook.com/ionicframework/posts/?ref=page_internal)
18:41:56	190698/190698	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202017%2017:41:56%20GMT	https://www.facebook.com/ionicframework/photos/dH2O	ionic/ionic%203%20docs/www.facebook.com/ionicframework/photos/dH2O	(from https://www.facebook.com/ionicframework/photos/?ref=page_internal)
